date,PVSimulator-0.PVPanel_0-irradiance,PVSimulator-0.PVPanel_0-P_dc,PVSimulator-0.PVPanel_0-temperature,InverterSim-0.Inverter_0-Q_ac,InverterSim-0.Inverter_0-P_ac,DSS-0.PVSystem-pv-Q_meas,DSS-0.PVSystem-pv-P_meas,DSS-0.PVSystem-pv-P1,DSS-0.PVSystem-pv-Q1,DSS-0.PVSystem-pv-Q2,DSS-0.PVSystem-pv-P3,DSS-0.PVSystem-pv-P2,DSS-0.PVSystem-pv-Q3,DSS-0.Bus-149-V3_pu,DSS-0.Bus-97-V3_pu,DSS-0.Bus-149-V2_pu,DSS-0.Bus-97-V2_pu,DSS-0.Bus-149-V1_pu,DSS-0.Bus-97-V1_pu,DSS-0.Line-l115-I3_A,DSS-0.Line-l115-I1_ang,DSS-0.Line-l115-Q1_var,DSS-0.Line-l115-P3_w,DSS-0.Line-l115-P2_w,DSS-0.Line-l115-I1_A,DSS-0.Line-l115-P1_w,DSS-0.Line-l115-Q3_var,DSS-0.Line-l115-I2_A,DSS-0.Line-l115-Q2_var,DSS-0.Line-l115-I2_ang,DSS-0.Line-l115-I3_ang
2026-01-01 02:40:00,0.0,0.0,25.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,1.0000031709870418,1.0067629366830446,1.0000032787926536,1.0106430868735417,1.0000016252500248,1.0002278209231783,110.19361166862241,12.73986351905217,-72.87164727893187,225.7462684541802,187.50632542328424,137.57930360470772,322.29993881015804,-138.14573556248868,98.0266936949293,-142.38300609687013,-82.78901780874597,151.46430097928553
2026-01-01 02:45:00,0.0,0.0,25.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,1.0000030488517517,1.0056773768702312,1.0000032853310805,1.0106803490291176,1.0000015673762939,1.0004965961745067,113.21645947773855,12.26727229386938,-70.4064703482911,237.16112387339965,184.16216239155807,137.96274730004333,323.7899308721701,-133.02601380409416,96.98432493412326,-142.6297448439736,-82.24321477119317,149.28817796243504
2026-01-01 02:50:00,0.0,0.0,25.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,1.0000029522002658,1.0050398087437356,1.0000030978959844,1.0100179976820782,1.0000015428430222,1.000722158786469,114.30238954405107,11.689496007396635,-69.47512256085625,242.36746148597,189.48192918162545,142.76553187217866,335.77939150648456,-128.93624682792884,96.78328699965022,-134.6507029699359,-84.60168062969048,148.0120541722025
2026-01-01 02:55:00,0.0,0.0,25.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,1.0000028522003492,1.0045060513538706,1.0000029504389274,1.009374748097647,1.0000016083307437,1.001397888171895,116.13361251250298,12.057182179023735,-72.30883970792014,249.48973483729716,193.4853163915132,144.12151887673625,338.5115852925339,-124.72215970040722,96.67724892941334,-128.37169571908282,-86.43718145030698,146.56054388838086
2026-01-01 03:00:00,0.0,0.0,25.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,1.0000029560832882,1.004696657735777,1.0000030036882246,1.009291559396318,1.0000016153521074,1.0013021014552148,113.89839060673687,12.074275168253532,-72.61931349476933,241.18516229437898,192.79078811127587,144.53846135785668,339.4692482102295,-129.09081843507002,96.96459359917048,-130.6466687721673,-85.8763237695927,148.15693865244546
2026-01-01 03:05:00,0.0,0.0,25.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,1.0000030906613846,1.00557412396851,1.000003184898808,1.009929616996359,1.0000017359521423,1.0010666326082622,110.56908326638468,13.365035488892165,-77.6612636554097,228.84575795198785,188.41289560959703,139.87985699125912,326.86144295596966,-134.73450625502193,97.32895129797299,-138.36838906348254,-83.70709677569754,150.4874327959936
2026-01-01 03:10:00,0.0,0.0,25.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,1.0000031974421064,1.0059981675714333,1.0000033353421918,1.0104055617991887,1.0000017534413466,1.0008017686636574,107.4934995130683,13.580675140237545,-78.3869107151578,217.43818946738676,181.60628621133932,138.98628448775534,324.480695440339,-139.1963054747235,96.69224837445721,-144.74733020871133,-81.4440256007782,152.62565426939497
2026-01-01 03:15:00,0.0,0.0,25.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,1.000003174098388,1.006363091718657,1.000003316084173,1.0103995887311947,1.00000172985348,1.0006955237075592,107.24926322067576,13.373401369014683,-77.38621545767263,217.38091969734333,184.06688209706482,139.29886971630495,325.49253725651124,-138.1953708223271,97.28977397488103,-143.94667169034045,-81.97361015203701,152.44501420833103
2026-01-01 03:20:00,0.0,0.0,25.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,1.0000031103600573,1.0060281825672182,1.000003290232128,1.0108310153959905,1.0000016153312103,1.0002267644341893,109.04073444406814,12.264146419179408,-72.5615632053158,224.09577463618425,181.45283058141987,142.2212142712583,333.7882445159093,-135.53113945217686,96.14203965242075,-142.81266728945343,-81.79568757642893,151.1648757321959
2026-01-01 03:25:00,0.0,0.0,25.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,1.0000030019167396,1.0055926392148324,1.0000031718717546,1.010294097427632,1.0000016244765242,1.0007113148870428,111.43145330101926,12.351501734281852,-72.9467084126183,233.39484645365823,189.03320440556118,141.98050433038316,333.1124807304276,-130.97699807309317,97.40165277225171,-137.816339169874,-83.90600221619655,149.30004440362958
2026-01-01 03:30:00,0.0,0.0,25.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,1.0000029886720547,1.0059254870377896,1.0000030638149302,1.01001514933849,1.0000014966169215,1.0003693078306581,112.37171773899969,11.104105760827304,-67.57955562497351,236.27925492041453,195.50907609537046,146.09161195423198,344.3106001502826,-130.4382762494265,98.51003199413921,-133.2505071927192,-85.72361749149908,148.900633915593
2026-01-01 03:35:00,0.0,0.0,25.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,1.0000031186868856,1.0063866215483541,1.0000031413148516,1.0104076135624032,1.000001428551349,1.0001754579762925,109.84791299426212,10.453894004258588,-64.72764185750086,226.13211124962947,190.81578756516322,148.52308895136466,350.798226143106,-135.90834784486478,97.68845651811587,-136.52470068851756,-84.4173301565412,151.00611195324967
2026-01-01 03:40:00,0.0,0.0,25.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,1.0000032117144997,1.0068149204711363,1.000003370985942,1.0119994596432145,1.0000015013157573,0.9997115152795634,107.5267572944484,11.126442415941458,-67.78423806602781,217.14235411416118,179.60696050211993,146.2436192609307,344.64245465751304,-139.8049686302102,96.4377680952524,-146.25479088339634,-80.8441540948385,152.77476928295528
2026-01-01 03:45:00,0.0,0.0,25.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,1.0000033311030325,1.007352573787789,1.000003464736545,1.0120792932794997,1.0000015527975774,0.9994650675128269,105.42510489431355,11.606021332648599,-69.9496813316784,207.70107195231336,174.8938748863178,144.7600922606967,340.572792894175,-144.82673432661048,95.99305085167107,-150.22519015042604,-79.33928757673,154.88718599470963
2026-01-01 03:50:00,0.0,0.0,25.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,1.0000032245758397,1.0073590598158528,1.000003341461689,1.0113268784142693,1.0000015056974803,0.9995673155585587,107.69601883848208,11.314107675895972,-67.92012363362862,217.26982431312558,184.573806818716,144.13728895294054,339.4579752066028,-140.3573983405878,97.73653195761872,-145.03926057387812,-81.83976251133804,152.86237083001154
