index,my_shape1_temperature,my_shape2_temperature,my_shape3_temperature,my_shape4_temperature,my_shape5_temperature
2026-01-01 16:40:00,0.916944,1.132931,1.133051,0.908617,0.901196
2026-01-01 16:45:00,0.907359,1.068323,1.06863,0.910597,0.886419
2026-01-01 16:50:00,0.891573,1.064832,1.065089,0.929153,0.878339
2026-01-01 16:55:00,0.875786,1.061342,1.061549,0.947709,0.870259
2026-01-01 17:00:00,0.86,1.057851,1.058008,0.966265,0.862179
2026-01-01 17:05:00,0.859621,1.054835,1.054876,0.970562,0.86193
2026-01-01 17:10:00,0.859242,1.05182,1.051744,0.974859,0.861681
2026-01-01 17:15:00,0.858862,1.048804,1.048612,0.979156,0.861431
2026-01-01 17:20:00,0.85106,1.06039,1.06041,0.992227,0.865594
2026-01-01 17:25:00,0.843257,1.071977,1.072208,1.005297,0.869756
2026-01-01 17:30:00,0.835454,1.083563,1.084007,1.018368,0.873918
2026-01-01 17:35:00,0.832409,1.100852,1.101209,1.019999,0.871691
2026-01-01 17:40:00,0.829365,1.118141,1.118411,1.02163,0.869463
2026-01-01 17:45:00,0.82632,1.13543,1.135613,1.023261,0.867235
2026-01-01 17:50:00,0.826084,1.133337,1.13338,1.011886,0.873892
2026-01-01 17:55:00,0.825847,1.131245,1.131146,1.000511,0.880548
2026-01-01 18:00:00,0.825611,1.129153,1.128912,0.989137,0.887204
2026-01-01 18:05:00,0.817899,1.112953,1.114167,0.988758,0.890136
2026-01-01 18:10:00,0.810187,1.096753,1.099423,0.988379,0.893068
2026-01-01 18:15:00,0.802475,1.080553,1.084678,0.988,0.896
2026-01-01 18:20:00,0.795542,1.04538,1.050194,0.98,0.904771
2026-01-01 18:25:00,0.78861,1.010208,1.015709,0.972,0.913543
2026-01-01 18:30:00,0.781677,0.975035,0.981224,0.964,0.922314
2026-01-01 18:35:00,0.772534,0.956351,0.960424,0.967268,0.928209
2026-01-01 18:40:00,0.763392,0.937668,0.939624,0.970536,0.934105
2026-01-01 18:45:00,0.754249,0.918985,0.918825,0.973805,0.94
2026-01-01 18:50:00,0.758332,0.919007,0.918869,0.974535,0.940883
2026-01-01 18:55:00,0.762414,0.919028,0.918913,0.975265,0.941767
2026-01-01 19:00:00,0.766497,0.91905,0.918957,0.975995,0.94265
2026-01-01 19:05:00,0.770298,0.912398,0.912229,0.968224,0.940301
2026-01-01 19:10:00,0.774098,0.905746,0.905501,0.960452,0.937951
2026-01-01 19:15:00,0.777899,0.899094,0.898772,0.95268,0.935602
2026-01-01 19:20:00,0.782282,0.89026,0.890048,0.944897,0.951372
2026-01-01 19:25:00,0.786664,0.881425,0.881323,0.937114,0.967143
2026-01-01 19:30:00,0.791047,0.872591,0.872599,0.929331,0.982913
2026-01-01 19:35:00,0.790031,0.867569,0.867578,0.92476,0.9969
2026-01-01 19:40:00,0.789016,0.862547,0.862558,0.92019,1.010888
2026-01-01 19:45:00,0.788,0.857525,0.857538,0.915619,1.024875
2026-01-01 19:50:00,0.788,0.853278,0.85327,0.914413,1.019831
2026-01-01 19:55:00,0.788,0.84903,0.849003,0.913206,1.014788
2026-01-01 20:00:00,0.788,0.844782,0.844736,0.912,1.009744
2026-01-01 20:05:00,0.788,0.840476,0.840411,0.90752,0.990768
2026-01-01 20:10:00,0.788,0.836171,0.836085,0.903039,0.971792
2026-01-01 20:15:00,0.788,0.831866,0.83176,0.898559,0.952815
2026-01-01 20:20:00,0.788,0.828292,0.828263,0.89281,0.936165
2026-01-01 20:25:00,0.788,0.824718,0.824766,0.887061,0.919516
2026-01-01 20:30:00,0.788,0.821144,0.821269,0.881312,0.902866
2026-01-01 20:35:00,0.788342,0.818202,0.818293,0.875191,0.893818
2026-01-01 20:40:00,0.788685,0.815261,0.815317,0.86907,0.88477
2026-01-01 20:45:00,0.789027,0.81232,0.812342,0.862949,0.875722
2026-01-01 20:50:00,0.789835,0.810408,0.810421,0.858393,0.867988
2026-01-01 20:55:00,0.790642,0.808497,0.808501,0.853836,0.860255
2026-01-01 21:00:00,0.79145,0.806585,0.806581,0.849279,0.852521
2026-01-01 21:05:00,0.7903,0.804659,0.804562,0.844853,0.84496
2026-01-01 21:10:00,0.78915,0.802732,0.802542,0.840426,0.837398
2026-01-01 21:15:00,0.788,0.800806,0.800522,0.836,0.829837
2026-01-01 21:20:00,0.788,0.799183,0.799017,0.833477,0.830122
2026-01-01 21:25:00,0.788,0.797559,0.797511,0.830955,0.830407
2026-01-01 21:30:00,0.788,0.795936,0.796006,0.828432,0.830692
2026-01-01 21:35:00,0.78528,0.796506,0.796618,0.826955,0.828461
2026-01-01 21:40:00,0.782561,0.797076,0.79723,0.825477,0.826231
2026-01-01 21:45:00,0.779841,0.797646,0.797843,0.824,0.824
2026-01-01 21:50:00,0.777307,0.79868,0.798862,0.824,0.824
2026-01-01 21:55:00,0.774772,0.799715,0.799882,0.824,0.824
2026-01-01 22:00:00,0.772238,0.800749,0.800902,0.824,0.824
2026-01-01 22:05:00,0.768439,0.799338,0.799543,0.823583,0.824
2026-01-01 22:10:00,0.76464,0.797927,0.798185,0.823167,0.824
2026-01-01 22:15:00,0.760841,0.796516,0.796827,0.82275,0.824
2026-01-01 22:20:00,0.753122,0.794873,0.795122,0.821423,0.824
2026-01-01 22:25:00,0.745403,0.793229,0.793418,0.820096,0.824
2026-01-01 22:30:00,0.737685,0.791586,0.791713,0.81877,0.824
2026-01-01 22:35:00,0.738411,0.788576,0.788694,0.8187,0.824
2026-01-01 22:40:00,0.739138,0.785567,0.785674,0.81863,0.824
2026-01-01 22:45:00,0.739865,0.782558,0.782655,0.818561,0.824
2026-01-01 22:50:00,0.739407,0.782457,0.782494,0.820374,0.824
2026-01-01 22:55:00,0.738949,0.782357,0.782333,0.822187,0.824
2026-01-01 23:00:00,0.738491,0.782257,0.782172,0.824,0.824
2026-01-01 23:05:00,0.740328,0.782326,0.782254,0.823616,0.824
2026-01-01 23:10:00,0.742164,0.782396,0.782337,0.823231,0.824
2026-01-01 23:15:00,0.744,0.782465,0.782419,0.822847,0.824
2026-01-01 23:20:00,0.744447,0.783447,0.783385,0.821505,0.824
2026-01-01 23:25:00,0.744895,0.784428,0.78435,0.820162,0.824
2026-01-01 23:30:00,0.745342,0.78541,0.785316,0.81882,0.824
2026-01-01 23:35:00,0.745301,0.784519,0.784487,0.81788,0.824
2026-01-01 23:40:00,0.745259,0.783628,0.783659,0.81694,0.824
2026-01-01 23:45:00,0.745217,0.782737,0.78283,0.816,0.824
2026-01-01 23:50:00,0.747602,0.784938,0.784996,0.818662,0.824
2026-01-01 23:55:00,0.749986,0.787138,0.787163,0.821323,0.824
